Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
Acer,2 in 1 Convertible,Windows,Intel,Intel,8,1.6,1,2.3,0.0,0.256,225.56390977443607,36709.92
Dell,Notebook,Linux,Intel,AMD,16,2.36,0,2.7,0.0,0.256,192.30769230769232,47898.72
Acer,Notebook,Linux,Intel,Intel,4,2.1,0,2.0,1.0,0.0,136.7948717948718,20779.2
Asus,Notebook,Windows,AMD,AMD,4,2.2,0,2.5,1.0,0.128,192.30769230769232,30636.0
Asus,Gaming,Windows,Intel,Nvidia,32,4.7,0,2.9,1.0,0.512,173.41040462427745,207259.2
Acer,Gaming,Windows,Intel,Nvidia,8,2.5,0,2.5,0.0,0.256,192.30769230769232,45074.88
Lenovo,Notebook,Windows,Intel,Intel,8,2.2,0,2.0,0.0,0.128,136.7948717948718,31381.92
Asus,Notebook,Windows,Intel,Nvidia,8,2.1,0,1.8,1.0,0.128,173.41040462427745,61005.6
Asus,Notebook,No,Intel,Nvidia,8,2.69,0,2.7,1.0,0.128,173.41040462427745,47365.92
Dell,Gaming,Windows,Intel,Nvidia,8,2.56,0,2.5,0.0,0.256,192.30769230769232,46833.12
Lenovo,2 in 1 Convertible,Windows,Intel,Intel,8,1.38,1,2.7,0.0,0.256,215.8273381294964,57489.12
Dell,Notebook,Windows,Intel,AMD,8,2.2,0,1.8,2.0,0.128,192.30769230769232,52480.8
